B,resident_context_sum,kappa,P_k,t_iter_observed
8,32850.0,2048,6144,0.11574230849510059
8,32858.0,2048,8192,0.11854218400549144
8,32866.0,2048,10240,0.12137590401107445
8,32874.0,2048,12288,0.13333681301446632
8,28778.0,1664,14336,0.13313662994187325
8,32807.0,2048,0,0.09809552953811362
8,32834.0,2048,2048,0.09808130149031058
8,32842.0,2048,4096,0.11088238842785358
8,32850.0,2048,6144,0.11746462853625417
8,32858.0,2048,8192,0.12028002046281472
8,32866.0,2048,10240,0.12581495550693944
8,32874.0,2048,12288,0.12979363097110763
8,28778.0,1664,14336,0.13308200798928738
8,32799.0,2048,0,0.09586474002571777
8,32834.0,2048,2048,0.09908929356606677
8,32842.0,2048,4096,0.11231182847404853
8,32850.0,2048,6144,0.11853233055444434
8,32858.0,2048,8192,0.12274491548305377
8,32866.0,2048,10240,0.12421805056510493
8,32874.0,2048,12288,0.128210014954675
8,28778.0,1664,14336,0.13057329808361828
16,65610.0,2048,0,0.10305361251812428
16,65693.0,2048,2048,0.10271390253910795
16,65810.0,2048,4096,0.10601718293037266
16,65826.0,2048,6144,0.11302742798579857
16,65842.0,2048,8192,0.12078112154267728
16,65858.0,2048,10240,0.1281796430121176
16,65874.0,2048,12288,0.15220185602083802
16,65890.0,1664,14336,0.13468575052684173
16,65735.0,2048,0,0.10279442003229633
16,65766.0,2048,2048,0.10204136202810332
16,65810.0,2048,4096,0.10725785151589662
16,65826.0,2048,6144,0.11161253153113648
16,65842.0,2048,8192,0.11877936095697805
16,65858.0,2048,10240,0.12703959899954498
16,65874.0,2048,12288,0.1365839400095865
16,61786.0,1664,14336,0.15145600901450962
16,65645.0,2048,0,0.10364262852817774
16,65748.0,2048,2048,0.10364197852322832
16,65810.0,2048,4096,0.10568586498266086
16,65826.0,2048,6144,0.11269659997196868
16,65842.0,2048,8192,0.12040183995850384
16,65858.0,2048,10240,0.12831394252134487
16,65874.0,2048,12288,0.1357164634973742
16,61786.0,1664,14336,0.14886520500294864
16,65645.0,2048,0,0.10018998599844053
16,65766.0,2048,2048,0.10022223694249988
16,65810.0,2048,4096,0.10490514850243926
16,65826.0,2048,6144,0.11176494194660336
16,65842.0,2048,8192,0.11698967352276668
16,65858.0,2048,10240,0.12716834497405216
16,65874.0,2048,12288,0.13522900402313098
16,65890.0,1664,14336,0.14744154101936147
16,65645.0,2048,0,0.10404939897125587
16,65743.0,2048,2048,0.10384383500786498
16,65810.0,2048,4096,0.10591620701598004
16,65826.0,2048,6144,0.11144287051865831
16,65842.0,2048,8192,0.12160392600344494
16,65858.0,2048,10240,0.12942652747733518
16,65874.0,2048,12288,0.13611140445573255
16,61786.0,1664,14336,0.15013362490572035
32,131695.0,2048,0,0.10571885551325977
32,131953.0,2048,2048,0.10662037547444925
32,132130.0,2048,4096,0.10729294299380854
32,132162.0,2048,6144,0.116815377085004
32,132194.0,2048,8192,0.12377890502102673
32,132226.0,2048,10240,0.1305195150198415
32,132258.0,2048,12288,0.13341499055968598
32,132290.0,1664,14336,0.15595028002280742
32,131543.0,2048,0,0.10653448849916458
32,131971.0,2048,2048,0.10668240796076134
32,132130.0,2048,4096,0.11043172044446692
32,132162.0,2048,6144,0.11551448347745463
32,132194.0,2048,8192,0.12376690248493105
32,132226.0,2048,10240,0.1289978185086511
32,132258.0,2048,12288,0.1332128689973615
32,132290.0,1664,14336,0.1418816294753924
32,131743.0,2048,0,0.1067055165185593
32,132051.0,2048,2048,0.10628166748210788
32,132130.0,2048,4096,0.11002789699705318
32,132162.0,2048,6144,0.11664100049529225
32,132194.0,2048,8192,0.12299584847642109
32,132226.0,2048,10240,0.1305831294739619
32,132258.0,2048,12288,0.13398367346962914
32,132290.0,1664,14336,0.14087683404795825
32,131505.0,2048,0,0.10592701256973669
32,131879.0,2048,2048,0.10587442194810137
32,132130.0,2048,4096,0.11092132702469826
32,132162.0,2048,6144,0.11628768447553739
32,132194.0,2048,8192,0.12241982144769281
32,132226.0,2048,10240,0.1284800564753823
32,132258.0,2048,12288,0.13286005944246426
32,132290.0,1664,14336,0.14006819401402026
32,131697.0,2048,0,0.10678216750966385
32,132039.0,2048,2048,0.10501376900356263
32,132130.0,2048,4096,0.109578272968065
32,132162.0,2048,6144,0.11636240646475926
32,132194.0,2048,8192,0.12357538199285045
32,132226.0,2048,10240,0.1285961025278084
32,132258.0,2048,12288,0.13302195502910763
32,132290.0,1664,14336,0.1391422075103037
