B,repeat,stream_index,k,start_minus_fire,end_minus_fire,t_iter_observed,injection_ttft
4,2,1,27,0.10398763895500451,0.20474470499902964,0.10075706604402512,0.9403335188981146
4,2,1,28,0.20474470499902964,0.3094782669795677,0.10473356198053807,0.9403335188981146
4,2,1,29,0.3094782669795677,0.42028322897385806,0.11080496199429035,0.9403335188981146
4,2,1,30,0.42028322897385806,0.537381715956144,0.11709848698228598,0.9403335188981146
4,2,1,31,0.537381715956144,0.6598173349630088,0.12243561900686473,0.9403335188981146
4,2,1,32,0.6598173349630088,0.7925357579952106,0.13271842303220183,0.9403335188981146
4,2,1,33,0.7925357579952106,0.9377733489964157,0.14523759100120515,0.9403335188981146
4,2,1,34,0.9377733489964157,0.9431477979524061,0.005374448955990374,0.9403335188981146
4,2,2,26,-0.01362429209984839,0.0017334509175270796,0.01535774301737547,0.9403335188981146
4,2,2,27,0.0017334509175270796,0.009969645994715393,0.008236195077188313,0.9403335188981146
4,2,2,28,0.009969645994715393,0.024781407904811203,0.014811761910095811,0.9403335188981146
4,2,2,29,0.024781407904811203,0.10389242193195969,0.07911101402714849,0.9403335188981146
4,2,2,30,0.10389242193195969,0.2046472349902615,0.1007548130583018,0.9403335188981146
4,2,2,31,0.2046472349902615,0.30936941190157086,0.10472217691130936,0.9403335188981146
4,2,2,32,0.30936941190157086,0.42018064693547785,0.110811235033907,0.9403335188981146
4,2,2,33,0.42018064693547785,0.5372699059080333,0.1170892589725554,0.9403335188981146
4,2,2,34,0.5372699059080333,0.6597240539267659,0.12245414801873267,0.9403335188981146
4,2,2,35,0.6597240539267659,0.7924442649818957,0.13272021105512977,0.9403335188981146
4,2,2,36,0.7924442649818957,0.9378478699363768,0.14540360495448112,0.9403335188981146
4,2,2,37,0.9378478699363768,0.9429843419929966,0.005136472056619823,0.9403335188981146
4,2,3,21,-0.013579301070421934,0.0017815439496189356,0.01536084502004087,0.9403335188981146
4,2,3,22,0.0017815439496189356,0.010037917993031442,0.008256374043412507,0.9403335188981146
4,2,3,23,0.010037917993031442,0.02483579597901553,0.014797877985984087,0.9403335188981146
4,2,3,24,0.02483579597901553,0.10393723496235907,0.07910143898334354,0.9403335188981146
4,2,3,25,0.10393723496235907,0.20469330600462854,0.10075607104226947,0.9403335188981146
4,2,3,26,0.20469330600462854,0.30942724691703916,0.10473394091241062,0.9403335188981146
4,2,3,27,0.30942724691703916,0.4202355589950457,0.11080831207800657,0.9403335188981146
4,2,3,28,0.4202355589950457,0.5373228099197149,0.1170872509246692,0.9403335188981146
4,2,3,29,0.5373228099197149,0.6597725889878348,0.12244977906811982,0.9403335188981146
4,2,3,30,0.6597725889878348,0.7924931519664824,0.13272056297864765,0.9403335188981146
4,2,3,31,0.7924931519664824,0.9375395209062845,0.14504636893980205,0.9403335188981146
4,2,3,32,0.9375395209062845,0.9430683458922431,0.005528824985958636,0.9403335188981146
4,3,0,22,-0.0036117309937253594,0.009364931029267609,0.012976662022992969,0.9501518260221928
4,3,0,23,0.009364931029267609,0.01992257800884545,0.01055764697957784,0.9501518260221928
4,3,0,24,0.01992257800884545,0.03404363605659455,0.014121058047749102,0.9501518260221928
4,3,0,25,0.03404363605659455,0.11722738004755229,0.08318374399095774,0.9501518260221928
4,3,0,26,0.11722738004755229,0.2184242910007015,0.1011969109531492,0.9501518260221928
4,3,0,27,0.2184242910007015,0.3225503540597856,0.10412606305908412,0.9501518260221928
4,3,0,28,0.3225503540597856,0.43345396406948566,0.11090361000970006,0.9501518260221928
4,3,0,29,0.43345396406948566,0.5515607660636306,0.11810680199414492,0.9501518260221928
4,3,0,30,0.5515607660636306,0.6746816640952602,0.12312089803162962,0.9501518260221928
4,3,0,31,0.6746816640952602,0.8059058050857857,0.13122414099052548,0.9501518260221928
4,3,0,32,0.8059058050857857,0.949289558106102,0.14338375302031636,0.9501518260221928
4,3,0,33,0.949289558106102,0.9511084100231528,0.0018188519170507789,0.9501518260221928
4,3,1,26,-0.015245724935084581,0.0016728340415284038,0.016918558976612985,0.9501518260221928
4,3,1,27,0.0016728340415284038,0.009492248063907027,0.007819414022378623,0.9501518260221928
4,3,1,28,0.009492248063907027,0.020035042078234255,0.010542794014327228,0.9501518260221928
4,3,1,29,0.020035042078234255,0.03415761701762676,0.014122574939392507,0.9501518260221928
4,3,1,30,0.03415761701762676,0.11740747303701937,0.08324985601939261,0.9501518260221928
4,3,1,31,0.11740747303701937,0.21861131908372045,0.10120384604670107,0.9501518260221928
4,3,1,32,0.21861131908372045,0.3227337551070377,0.10412243602331728,0.9501518260221928
4,3,1,33,0.3227337551070377,0.4336674220394343,0.11093366693239659,0.9501518260221928
4,3,1,34,0.4336674220394343,0.5517194350250065,0.11805201298557222,0.9501518260221928
4,3,1,35,0.5517194350250065,0.6748374110320583,0.12311797600705177,0.9501518260221928
4,3,1,36,0.6748374110320583,0.8060607310617343,0.13122332002967596,0.9501518260221928
4,3,1,37,0.8060607310617343,0.9491739351069555,0.1431132040452212,0.9501518260221928
4,3,1,38,0.9491739351069555,0.9512559190625325,0.002081983955577016,0.9501518260221928
4,3,2,23,-0.015204257913865149,0.0017277380684390664,0.016931995982304215,0.9501518260221928
4,3,2,24,0.0017277380684390664,0.009542830055579543,0.007815091987140477,0.9501518260221928
4,3,2,25,0.009542830055579543,0.020087490091100335,0.010544660035520792,0.9501518260221928
4,3,2,26,0.020087490091100335,0.034205226111225784,0.014117736020125449,0.9501518260221928
4,3,2,27,0.034205226111225784,0.11746054200921208,0.08325531589798629,0.9501518260221928
4,3,2,28,0.11746054200921208,0.21866297908127308,0.101202437072061,0.9501518260221928
4,3,2,29,0.21866297908127308,0.32278498308733106,0.10412200400605798,0.9501518260221928
4,3,2,30,0.32278498308733106,0.433718717074953,0.11093373398762196,0.9501518260221928
4,3,2,31,0.433718717074953,0.5517720140051097,0.11805329693015665,0.9501518260221928
4,3,2,32,0.5517720140051097,0.6748895280761644,0.12311751407105476,0.9501518260221928
4,3,2,33,0.6748895280761644,0.806114815059118,0.13122528698295355,0.9501518260221928
4,3,2,34,0.806114815059118,0.9492382410680875,0.14312342600896955,0.9501518260221928
4,3,2,35,0.9492382410680875,0.9513023950858042,0.002064154017716646,0.9501518260221928
4,3,3,19,-0.015301566920243204,0.0016012070700526237,0.016902773990295827,0.9501518260221928
4,3,3,20,0.0016012070700526237,0.009441398084163666,0.007840191014111042,0.9501518260221928
4,3,3,21,0.009441398084163666,0.01998773100785911,0.010546332923695445,0.9501518260221928
4,3,3,22,0.01998773100785911,0.03409421106334776,0.014106480055488646,0.9501518260221928
4,3,3,23,0.03409421106334776,0.11734596104361117,0.08325174998026341,0.9501518260221928
4,3,3,24,0.11734596104361117,0.21854465000797063,0.10119868896435946,0.9501518260221928
4,3,3,25,0.21854465000797063,0.32267536607105285,0.10413071606308222,0.9501518260221928
4,3,3,26,0.32267536607105285,0.43360602110624313,0.11093065503519028,0.9501518260221928
4,3,3,27,0.43360602110624313,0.551661016070284,0.11805499496404082,0.9501518260221928
4,3,3,28,0.551661016070284,0.674779114080593,0.12311809801030904,0.9501518260221928
4,3,3,29,0.674779114080593,0.805999975069426,0.131220860988833,0.9501518260221928
4,3,3,30,0.805999975069426,0.9493371200514957,0.14333714498206973,0.9501518260221928
4,3,3,31,0.9493371200514957,0.9511759040178731,0.0018387839663773775,0.9501518260221928
4,4,0,26,-0.014803115976974368,0.0016287119360640645,0.016431827913038433,0.9474645069567487
4,4,0,27,0.0016287119360640645,0.008912135032005608,0.007283423095941544,0.9474645069567487
4,4,0,28,0.008912135032005608,0.021150436950847507,0.012238301918841898,0.9474645069567487
4,4,0,29,0.021150436950847507,0.03712627000641078,0.01597583305556327,0.9474645069567487
4,4,0,30,0.03712627000641078,0.1176366260042414,0.08051035599783063,0.9474645069567487
4,4,0,31,0.1176366260042414,0.21578024502377957,0.09814361901953816,0.9474645069567487
4,4,0,32,0.21578024502377957,0.3206047889543697,0.10482454393059015,0.9474645069567487
4,4,0,33,0.3206047889543697,0.4314989399863407,0.11089415103197098,0.9474645069567487
4,4,0,34,0.4314989399863407,0.5479582570260391,0.11645931703969836,0.9474645069567487
4,4,0,35,0.5479582570260391,0.6697743169497699,0.12181605992373079,0.9474645069567487
4,4,0,36,0.6697743169497699,0.8022758299484849,0.13250151299871504,0.9474645069567487
4,4,0,37,0.8022758299484849,0.9482862680451944,0.14601043809670955,0.9474645069567487
4,4,1,19,-0.014753254014067352,0.001684310962446034,0.016437564976513386,0.9474645069567487
4,4,1,20,0.001684310962446034,0.008970708004198968,0.0072863970417529345,0.9474645069567487
4,4,1,21,0.008970708004198968,0.021202350966632366,0.012231642962433398,0.9474645069567487
4,4,1,22,0.021202350966632366,0.03717463696375489,0.015972285997122526,0.9474645069567487
4,4,1,23,0.03717463696375489,0.11770353093743324,0.08052889397367835,0.9474645069567487
4,4,1,24,0.11770353093743324,0.2158451119903475,0.09814158105291426,0.9474645069567487
4,4,1,25,0.2158451119903475,0.32066972693428397,0.10482461494393647,0.9474645069567487
4,4,1,26,0.32066972693428397,0.4315774509450421,0.1109077240107581,0.9474645069567487
4,4,1,27,0.4315774509450421,0.5480188250076026,0.1164413740625605,0.9474645069567487
4,4,1,28,0.5480188250076026,0.6698374589905143,0.1218186339829117,0.9474645069567487
4,4,1,29,0.6698374589905143,0.8023322949884459,0.13249483599793166,0.9474645069567487
4,4,1,30,0.8023322949884459,0.9477607590379193,0.1454284640494734,0.9474645069567487
4,4,2,23,-0.01487393700517714,0.0015641639474779367,0.016438100952655077,0.9474645069567487
4,4,2,24,0.0015641639474779367,0.008804679964669049,0.007240516017191112,0.9474645069567487
4,4,2,25,0.008804679964669049,0.021071554976515472,0.012266875011846423,0.9474645069567487
4,4,2,26,0.021071554976515472,0.03704622096847743,0.015974665991961956,0.9474645069567487
4,4,2,27,0.03704622096847743,0.11753161600790918,0.08048539503943175,0.9474645069567487
4,4,2,28,0.11753161600790918,0.2156821369426325,0.09815052093472332,0.9474645069567487
4,4,2,29,0.2156821369426325,0.3204972619423643,0.10481512499973178,0.9474645069567487
4,4,2,30,0.3204972619423643,0.4313952010124922,0.1108979390701279,0.9474645069567487
4,4,2,31,0.4313952010124922,0.5478187749395147,0.11642357392702252,0.9474645069567487
4,4,2,32,0.5478187749395147,0.669678344973363,0.12185957003384829,0.9474645069567487
4,4,2,33,0.669678344973363,0.8021541530033574,0.13247580802999437,0.9474645069567487
4,4,2,34,0.8021541530033574,0.947985184029676,0.14583103102631867,0.9474645069567487
4,4,3,21,-0.014706842019222677,0.0017359140329062939,0.01644275605212897,0.9474645069567487
4,4,3,22,0.0017359140329062939,0.009022454963997006,0.0072865409310907125,0.9474645069567487
4,4,3,23,0.009022454963997006,0.021250803023576736,0.01222834805957973,0.9474645069567487
4,4,3,24,0.021250803023576736,0.03721972194034606,0.015968918916769326,0.9474645069567487
4,4,3,25,0.03721972194034606,0.11776046396698803,0.08054074202664196,0.9474645069567487
4,4,3,26,0.11776046396698803,0.2159030589973554,0.09814259503036737,0.9474645069567487
4,4,3,27,0.2159030589973554,0.3207259520422667,0.10482289304491132,0.9474645069567487
4,4,3,28,0.3207259520422667,0.43163021898362786,0.11090426694136113,0.9474645069567487
4,4,3,29,0.43163021898362786,0.5480669279349968,0.11643670895136893,0.9474645069567487
4,4,3,30,0.5480669279349968,0.6699035939527676,0.12183666601777077,0.9474645069567487
4,4,3,31,0.6699035939527676,0.8023803819669411,0.1324767880141735,0.9474645069567487
4,4,3,32,0.8023803819669411,0.9479275980265811,0.14554721605964005,0.9474645069567487
8,0,0,9,-0.024650520994327962,0.07125253695994616,0.09590305795427412,1.4580461259465665
8,0,0,10,0.07125253695994616,0.16664772504009306,0.09539518808014691,1.4580461259465665
8,0,0,11,0.16664772504009306,0.2597163669997826,0.09306864195968956,1.4580461259465665
8,0,0,12,0.2597163669997826,0.35423799499403685,0.09452162799425423,1.4580461259465665
8,0,0,13,0.35423799499403685,0.4470268109580502,0.09278881596401334,1.4580461259465665
8,0,0,14,0.4470268109580502,0.5422985489713028,0.09527173801325262,1.4580461259465665
8,0,0,15,0.5422985489713028,0.6345259719528258,0.09222742298152298,1.4580461259465665
8,0,0,16,0.6345259719528258,0.7295658510411158,0.09503987908829004,1.4580461259465665
